"date","state","area"
"2003-01-01","Johor",356922
"2003-01-01","Kedah",344530
"2003-01-01","Kelantan",629687
"2003-01-01","Melaka",5468
"2003-01-01","Negeri Sembilan",165639
"2003-01-01","Pahang",1524132
"2003-01-01","Perak",884205
"2003-01-01","Perlis",10718
"2003-01-01","Pulau Pinang",5139
"2003-01-01","Sabah",3563186
"2003-01-01","Sarawak",4836800
"2003-01-01","Selangor",233781
"2003-01-01","Terengganu",535929
"2003-01-01","W.P. Kuala Lumpur",61
"2003-01-01","W.P. Labuan",0
"2003-01-01","W.P. Putrajaya",0
"2004-01-01","Johor",355772
"2004-01-01","Kedah",342613
"2004-01-01","Kelantan",629367
"2004-01-01","Melaka",5185
"2004-01-01","Negeri Sembilan",162075
"2004-01-01","Pahang",1524132
"2004-01-01","Perak",884205
"2004-01-01","Perlis",10718
"2004-01-01","Pulau Pinang",5434
"2004-01-01","Sabah",3543186
"2004-01-01","Sarawak",4806300
"2004-01-01","Selangor",233781
"2004-01-01","Terengganu",530162
"2004-01-01","W.P. Kuala Lumpur",61
"2004-01-01","W.P. Labuan",0
"2004-01-01","W.P. Putrajaya",0
"2005-01-01","Johor",375864
"2005-01-01","Kedah",342613
"2005-01-01","Kelantan",629687
"2005-01-01","Melaka",5185
"2005-01-01","Negeri Sembilan",160151
"2005-01-01","Pahang",1519501
"2005-01-01","Perak",884205
"2005-01-01","Perlis",10718
"2005-01-01","Pulau Pinang",5434
"2005-01-01","Sabah",3523186
"2005-01-01","Sarawak",4779900
"2005-01-01","Selangor",239782
"2005-01-01","Terengganu",538063
"2005-01-01","W.P. Kuala Lumpur",61
"2005-01-01","W.P. Labuan",0
"2005-01-01","W.P. Putrajaya",0
"2006-01-01","Johor",391499
"2006-01-01","Kedah",342613
"2006-01-01","Kelantan",629687
"2006-01-01","Melaka",5159
"2006-01-01","Negeri Sembilan",156275
"2006-01-01","Pahang",1519501
"2006-01-01","Perak",884205
"2006-01-01","Perlis",10718
"2006-01-01","Pulau Pinang",5434
"2006-01-01","Sabah",3503186
"2006-01-01","Sarawak",4778300
"2006-01-01","Selangor",235212
"2006-01-01","Terengganu",545818
"2006-01-01","W.P. Kuala Lumpur",61
"2006-01-01","W.P. Labuan",0
"2006-01-01","W.P. Putrajaya",0
"2007-01-01","Johor",391499
"2007-01-01","Kedah",342613
"2007-01-01","Kelantan",629687
"2007-01-01","Melaka",5079
