"date","state","forest_area","total_area","forest_norm"
2003,"Johor",3569.22,19210,18.5800104112441
2003,"Kedah",3445.3,9500,36.2663157894737
2003,"Kelantan",6296.87,15099,41.7038876746804
2003,"Melaka",54.68,1664,3.28605769230769
2003,"Negeri Sembilan",1656.39,6686,24.7740053843853
2003,"Pahang",15241.32,36137,42.1764950051194
2003,"Perak",8842.05,21035,42.0349417637271
2003,"Perlis",107.18,821,13.0548112058465
2003,"Pulau Pinang",51.39,1048,4.90362595419847
2003,"Sabah",35631.86,73631,48.3924705626706
2003,"Sarawak",48368,124450,38.8654077942949
2003,"Selangor",2337.81,8104,28.8476061204344
2003,"Terengganu",5359.29,13035,41.1146144994246
2003,"Kuala Lumpur",0.61,243,0.251028806584362
2003,"Labuan",0,91,0
2003,"Putrajaya",0,49,0
2004,"Johor",3557.72,19210,18.520145757418
2004,"Kedah",3426.13,9500,36.0645263157895
2004,"Kelantan",6293.67,15099,41.6826942181601
2004,"Melaka",51.85,1664,3.11598557692308
2004,"Negeri Sembilan",1620.75,6686,24.2409512413999
2004,"Pahang",15241.32,36137,42.1764950051194
2004,"Perak",8842.05,21035,42.0349417637271
2004,"Perlis",107.18,821,13.0548112058465
2004,"Pulau Pinang",54.34,1048,5.18511450381679
2004,"Sabah",35431.86,73631,48.1208458393883
2004,"Sarawak",48063,124450,38.6203294495781
2004,"Selangor",2337.81,8104,28.8476061204344
2004,"Terengganu",5301.62,13035,40.6721902570004
2004,"Kuala Lumpur",0.61,243,0.251028806584362
2004,"Labuan",0,91,0
2004,"Putrajaya",0,49,0
2005,"Johor",3758.64,19210,19.5660593440916
2005,"Kedah",3426.13,9500,36.0645263157895
2005,"Kelantan",6296.87,15099,41.7038876746804
2005,"Melaka",51.85,1664,3.11598557692308
2005,"Negeri Sembilan",1601.51,6686,23.9531857612923
2005,"Pahang",15195.01,36137,42.0483438027506
2005,"Perak",8842.05,21035,42.0349417637271
2005,"Perlis",107.18,821,13.0548112058465
2005,"Pulau Pinang",54.34,1048,5.18511450381679
2005,"Sabah",35231.86,73631,47.849221116106
2005,"Sarawak",47799,124450,38.4081960626758
2005,"Selangor",2397.82,8104,29.5881046396841
2005,"Terengganu",5380.63,13035,41.2783275795934
2005,"Kuala Lumpur",0.61,243,0.251028806584362
2005,"Labuan",0,91,0
2005,"Putrajaya",0,49,0
2006,"Johor",3914.99,19210,20.3799583550234
2006,"Kedah",3426.13,9500,36.0645263157895
2006,"Kelantan",6296.87,15099,41.7038876746804
2006,"Melaka",51.59,1664,3.10036057692308
2006,"Negeri Sembilan",1562.75,6686,23.373466945857
2006,"Pahang",15195.01,36137,42.0483438027506
2006,"Perak",8842.05,21035,42.0349417637271
2006,"Perlis",107.18,821,13.0548112058465
