"state","loss_year","loss_ha","emissions_Mg"
"Johor",2001,43703.0926361228,14055158.1151983
"Kedah",2001,3599.67822240976,1273363.75016071
"Kelantan",2001,10556.8338751508,4299808.28516081
"Kuala Lumpur",2001,35.8756660306502,16615.9006122023
"Labuan",2001,24.3626937938634,11621.4452629758
"Melaka",2001,3592.75709396402,824479.194118101
"Negeri Sembilan",2001,22431.7465255259,5649024.59792665
"Pahang",2001,47472.9682374803,15889083.3704032
"Perak",2001,16245.2182315735,3294884.97031435
"Perlis",2001,258.024893445746,117632.043901973
"Pulau Pinang",2001,132.595844867067,18004.0680213483
"Putrajaya",2001,60.6235034512754,9431.26191396278
"Sabah",2001,63040.5642682011,30717060.2918163
"Sarawak",2001,100293.921764272,50466301.1755017
"Selangor",2001,11218.6515996174,4325614.21452814
"Trengganu",2001,10139.0430893697,3333220.13362479
"Johor",2002,35358.8152773236,13569967.464206
"Kedah",2002,9893.07395250048,3567807.98918657
"Kelantan",2002,9120.14548215443,3889712.02067727
"Kuala Lumpur",2002,118.687674119921,56607.3045976309
"Labuan",2002,23.0598841709815,10524.907433252
"Melaka",2002,2813.67869905438,800492.605352959
"Negeri Sembilan",2002,24927.4111706737,6813662.77343319
"Pahang",2002,58055.8538230904,22127028.2598235
"Perak",2002,20779.3194077365,4687396.36763053
"Perlis",2002,172.762823364016,61216.3911073084
"Pulau Pinang",2002,436.661789266956,67672.6859202949
"Putrajaya",2002,48.5602902539197,15445.2990528315
"Sabah",2002,59777.9645426576,29564572.0636346
"Sarawak",2002,73916.7771445926,53399640.5939224
"Selangor",2002,7332.40044588765,3678259.44116839
"Trengganu",2002,10065.9672208644,3828907.51531332
"Johor",2003,13478.0182726311,5020390.13898372
"Kedah",2003,4456.35938356064,2092443.87272341
"Kelantan",2003,5576.5833495557,3047820.79172527
"Kuala Lumpur",2003,48.3202513335507,23411.0931311487
"Labuan",2003,17.8495234680219,7147.89375865775
"Melaka",2003,1271.56709162353,447120.788725518
"Negeri Sembilan",2003,7334.26852829372,2408906.62885584
"Pahang",2003,26962.5573498192,9767336.30573665
"Perak",2003,9509.63390212087,2590846.97447905
"Perlis",2003,55.4942156039909,21072.4191266501
"Pulau Pinang",2003,194.500194436646,58443.9471298704
"Putrajaya",2003,24.2031769518537,9617.96023126513
"Sabah",2003,33046.8595653013,18790103.622164
"Sarawak",2003,73946.1271229261,61290773.6060063
"Selangor",2003,3749.36609943328,1646562.59482317
"Trengganu",2003,4385.98290805503,2109192.95405498
"Johor",2004,40586.1773737411,15575599.8666602
"Kedah",2004,7109.81277311831,3354640.68273742
"Kelantan",2004,13804.0640743994,6701157.28458755
"Kuala Lumpur",2004,169.543355875305,76845.8428408714
"Labuan",2004,11.1083298568378,5866.26481328149
"Melaka",2004,1266.57303289976,493057.973492011
"Negeri Sembilan",2004,8937.31330630525,2987117.05025574
"Pahang",2004,45057.4231895242,22466914.1279992
"Perak",2004,14547.8061949103,3799740.4959798
"Perlis",2004,111.759268722349,37835.1551439535
"Pulau Pinang",2004,416.513455338518,89462.7566271509
